pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Grèce,84,2013,Pommes de Terre,2531,1149.0,83.0,120.0,90.0,29.0,806.0,21.0
Grèce,84,2013,Riz (Eq Blanchi),2805,87.0,6.0,3.0,5.0,0.0,74.0,0.0
Guatemala,89,2013,Maïs,2514,2466.0,480.0,26.0,55.0,555.0,1350.0,0.0
Guyana,91,2013,Riz (Eq Blanchi),2805,243.0,91.0,21.0,27.0,0.0,61.0,42.0
Hongrie,97,2013,Blé,2511,2939.0,1158.0,280.0,90.0,309.0,1095.0,7.0
Hongrie,97,2013,Maïs,2514,2852.0,2099.0,40.0,125.0,585.0,3.0,0.0
Hongrie,97,2013,Pommes de Terre,2531,593.0,13.0,55.0,13.0,0.0,462.0,51.0
Hongrie,97,2013,Graines Colza/Moutarde,2558,122.0,0.0,2.0,2.0,112.0,2.0,4.0
Hongrie,97,2013,"Plantes Oleiferes, Autre",2570,19.0,13.0,0.0,0.0,1.0,1.0,4.0
Hongrie,97,2013,Riz (Eq Blanchi),2805,27.0,5.0,0.0,0.0,0.0,21.0,0.0
Croatie,98,2013,Blé,2511,680.0,160.0,34.0,29.0,0.0,457.0,0.0
Inde,100,2013,Maïs,2514,18188.0,6990.0,946.0,2330.0,0.0,7876.0,45.0
Inde,100,2013,"Plantes Oleiferes, Autre",2570,1714.0,8.0,17.0,38.0,1636.0,3.0,12.0
Indonésie,101,2013,Maïs,2514,20738.0,6000.0,180.0,1277.0,0.0,8820.0,4461.0
Indonésie,101,2013,"Plantes Oleiferes, Autre",2570,175.0,0.0,0.0,11.0,329.0,0.0,13.0
Indonésie,101,2013,Riz (Eq Blanchi),2805,46875.0,1832.0,404.0,3664.0,0.0,33637.0,7338.0
Iran (République islamique d'),102,2013,Blé,2511,13800.0,500.0,734.0,685.0,0.0,11873.0,8.0
Iran (République islamique d'),102,2013,Riz (Eq Blanchi),2805,2943.0,534.0,55.0,33.0,0.0,2320.0,2.0
Irlande,104,2013,Blé,2511,1150.0,600.0,15.0,21.0,13.0,500.0,1.0
Irlande,104,2013,Pommes de Terre,2531,643.0,4.0,29.0,11.0,100.0,435.0,64.0
Israël,105,2013,Blé,2511,1782.0,630.0,12.0,79.0,0.0,857.0,204.0
Israël,105,2013,Orge,2513,328.0,300.0,1.0,1.0,23.0,4.0,0.0
